[startup] background telemetry producer started
[generator] generated telemetry at 2026-04-04T12:28:37.525941+00:00
[storage] saving telemetry at 2026-04-04T12:28:37.525941+00:00
[background] stored telemetry at 2026-04-04T12:28:37.525941+00:00
[generator] generated telemetry at 2026-04-04T12:28:38.545953+00:00
[storage] saving telemetry at 2026-04-04T12:28:38.545953+00:00
[background] stored telemetry at 2026-04-04T12:28:38.545953+00:00
[generator] generated telemetry at 2026-04-04T12:28:39.528942+00:00
[storage] saving telemetry at 2026-04-04T12:28:39.528942+00:00
[background] stored telemetry at 2026-04-04T12:28:39.528942+00:00
[generator] generated telemetry at 2026-04-04T12:28:40.519786+00:00
[storage] saving telemetry at 2026-04-04T12:28:40.519786+00:00
[background] stored telemetry at 2026-04-04T12:28:40.519786+00:00
[generator] generated telemetry at 2026-04-04T12:28:41.541868+00:00
[storage] saving telemetry at 2026-04-04T12:28:41.541868+00:00
[background] stored telemetry at 2026-04-04T12:28:41.541868+00:00
[generator] generated telemetry at 2026-04-04T12:28:42.525864+00:00
[storage] saving telemetry at 2026-04-04T12:28:42.525864+00:00
[background] stored telemetry at 2026-04-04T12:28:42.525864+00:00
[generator] generated telemetry at 2026-04-04T12:28:43.524894+00:00
[storage] saving telemetry at 2026-04-04T12:28:43.524894+00:00
[background] stored telemetry at 2026-04-04T12:28:43.524894+00:00
[generator] generated telemetry at 2026-04-04T12:28:44.540874+00:00
[storage] saving telemetry at 2026-04-04T12:28:44.540874+00:00
[background] stored telemetry at 2026-04-04T12:28:44.540874+00:00
[generator] generated telemetry at 2026-04-04T12:28:45.542868+00:00
[storage] saving telemetry at 2026-04-04T12:28:45.542868+00:00
[background] stored telemetry at 2026-04-04T12:28:45.542868+00:00
[generator] generated telemetry at 2026-04-04T12:28:46.547863+00:00
[storage] saving telemetry at 2026-04-04T12:28:46.547863+00:00
[background] stored telemetry at 2026-04-04T12:28:46.547863+00:00
[generator] generated telemetry at 2026-04-04T12:28:47.550864+00:00
[storage] saving telemetry at 2026-04-04T12:28:47.550864+00:00
[background] stored telemetry at 2026-04-04T12:28:47.550864+00:00
[generator] generated telemetry at 2026-04-04T12:28:48.554900+00:00
[storage] saving telemetry at 2026-04-04T12:28:48.554900+00:00
[background] stored telemetry at 2026-04-04T12:28:48.554900+00:00
[generator] generated telemetry at 2026-04-04T12:28:49.557929+00:00
[storage] saving telemetry at 2026-04-04T12:28:49.557929+00:00
[background] stored telemetry at 2026-04-04T12:28:49.557929+00:00
[generator] generated telemetry at 2026-04-04T12:28:50.559929+00:00
[storage] saving telemetry at 2026-04-04T12:28:50.559929+00:00
[background] stored telemetry at 2026-04-04T12:28:50.559929+00:00
[generator] generated telemetry at 2026-04-04T12:28:51.563930+00:00
[storage] saving telemetry at 2026-04-04T12:28:51.563930+00:00
[background] stored telemetry at 2026-04-04T12:28:51.563930+00:00
[generator] generated telemetry at 2026-04-04T12:28:52.569931+00:00
[storage] saving telemetry at 2026-04-04T12:28:52.569931+00:00
[background] stored telemetry at 2026-04-04T12:28:52.569931+00:00
[generator] generated telemetry at 2026-04-04T12:28:53.589926+00:00
[storage] saving telemetry at 2026-04-04T12:28:53.589926+00:00
[background] stored telemetry at 2026-04-04T12:28:53.589926+00:00
[generator] generated telemetry at 2026-04-04T12:28:54.595931+00:00
[storage] saving telemetry at 2026-04-04T12:28:54.595931+00:00
[background] stored telemetry at 2026-04-04T12:28:54.595931+00:00
[generator] generated telemetry at 2026-04-04T12:28:55.588896+00:00
[storage] saving telemetry at 2026-04-04T12:28:55.588896+00:00
[background] stored telemetry at 2026-04-04T12:28:55.588896+00:00
[generator] generated telemetry at 2026-04-04T12:28:56.590933+00:00
[storage] saving telemetry at 2026-04-04T12:28:56.590933+00:00
[background] stored telemetry at 2026-04-04T12:28:56.590933+00:00
[generator] generated telemetry at 2026-04-04T12:28:57.596928+00:00
[storage] saving telemetry at 2026-04-04T12:28:57.596928+00:00
[background] stored telemetry at 2026-04-04T12:28:57.596928+00:00
[generator] generated telemetry at 2026-04-04T12:28:58.601929+00:00
[storage] saving telemetry at 2026-04-04T12:28:58.601929+00:00
[background] stored telemetry at 2026-04-04T12:28:58.601929+00:00
[generator] generated telemetry at 2026-04-04T12:28:59.607911+00:00
[storage] saving telemetry at 2026-04-04T12:28:59.607911+00:00
[background] stored telemetry at 2026-04-04T12:28:59.607911+00:00
[generator] generated telemetry at 2026-04-04T12:29:00.618624+00:00
[storage] saving telemetry at 2026-04-04T12:29:00.618624+00:00
[background] stored telemetry at 2026-04-04T12:29:00.618624+00:00
[generator] generated telemetry at 2026-04-04T12:29:01.607624+00:00
[storage] saving telemetry at 2026-04-04T12:29:01.607624+00:00
[background] stored telemetry at 2026-04-04T12:29:01.607624+00:00
[generator] generated telemetry at 2026-04-04T12:29:02.605412+00:00
[storage] saving telemetry at 2026-04-04T12:29:02.605412+00:00
[background] stored telemetry at 2026-04-04T12:29:02.605412+00:00
[generator] generated telemetry at 2026-04-04T12:29:03.610408+00:00
[storage] saving telemetry at 2026-04-04T12:29:03.610408+00:00
[background] stored telemetry at 2026-04-04T12:29:03.610408+00:00
[generator] generated telemetry at 2026-04-04T12:29:04.610438+00:00
[storage] saving telemetry at 2026-04-04T12:29:04.610438+00:00
[background] stored telemetry at 2026-04-04T12:29:04.610438+00:00
[generator] generated telemetry at 2026-04-04T12:29:05.611408+00:00
[storage] saving telemetry at 2026-04-04T12:29:05.611408+00:00
[background] stored telemetry at 2026-04-04T12:29:05.611408+00:00
[generator] generated telemetry at 2026-04-04T12:29:06.612408+00:00
[storage] saving telemetry at 2026-04-04T12:29:06.612408+00:00
[background] stored telemetry at 2026-04-04T12:29:06.612408+00:00
[generator] generated telemetry at 2026-04-04T12:29:07.618409+00:00
[storage] saving telemetry at 2026-04-04T12:29:07.618409+00:00
[background] stored telemetry at 2026-04-04T12:29:07.618409+00:00
[generator] generated telemetry at 2026-04-04T12:29:08.623413+00:00
[storage] saving telemetry at 2026-04-04T12:29:08.623413+00:00
[background] stored telemetry at 2026-04-04T12:29:08.623413+00:00
[generator] generated telemetry at 2026-04-04T12:29:09.624408+00:00
[storage] saving telemetry at 2026-04-04T12:29:09.624408+00:00
[background] stored telemetry at 2026-04-04T12:29:09.624408+00:00
[generator] generated telemetry at 2026-04-04T12:29:10.625407+00:00
[storage] saving telemetry at 2026-04-04T12:29:10.625407+00:00
[background] stored telemetry at 2026-04-04T12:29:10.625407+00:00
[generator] generated telemetry at 2026-04-04T12:29:11.628408+00:00
[storage] saving telemetry at 2026-04-04T12:29:11.628408+00:00
[background] stored telemetry at 2026-04-04T12:29:11.628408+00:00
[generator] generated telemetry at 2026-04-04T12:29:12.629411+00:00
[storage] saving telemetry at 2026-04-04T12:29:12.629411+00:00
[background] stored telemetry at 2026-04-04T12:29:12.629411+00:00
[generator] generated telemetry at 2026-04-04T12:29:13.633410+00:00
[storage] saving telemetry at 2026-04-04T12:29:13.633410+00:00
[background] stored telemetry at 2026-04-04T12:29:13.633410+00:00
[generator] generated telemetry at 2026-04-04T12:29:14.637412+00:00
[storage] saving telemetry at 2026-04-04T12:29:14.637412+00:00
[background] stored telemetry at 2026-04-04T12:29:14.637412+00:00
[generator] generated telemetry at 2026-04-04T12:29:15.642408+00:00
[storage] saving telemetry at 2026-04-04T12:29:15.642408+00:00
[background] stored telemetry at 2026-04-04T12:29:15.642408+00:00
[generator] generated telemetry at 2026-04-04T12:29:16.630441+00:00
[storage] saving telemetry at 2026-04-04T12:29:16.630441+00:00
[background] stored telemetry at 2026-04-04T12:29:16.630441+00:00
[generator] generated telemetry at 2026-04-04T12:29:17.632278+00:00
[storage] saving telemetry at 2026-04-04T12:29:17.632278+00:00
[background] stored telemetry at 2026-04-04T12:29:17.632278+00:00
[generator] generated telemetry at 2026-04-04T12:29:18.639276+00:00
[storage] saving telemetry at 2026-04-04T12:29:18.639276+00:00
[background] stored telemetry at 2026-04-04T12:29:18.639276+00:00
[generator] generated telemetry at 2026-04-04T12:29:19.644278+00:00
[storage] saving telemetry at 2026-04-04T12:29:19.644278+00:00
